model,overall_acc
bloom-560m,0.034229828850855744
bloom-1b1,0.6198044009779952
bloom-1b7,0.9400977995110025
bloom-3b,1.0
bloom-7b1,0.9743276283618582
gpt2-small,0.31295843520782396
gpt2-medium,0.12102689486552567
gpt2-large,0.8288508557457213
gpt2-xl,0.9779951100244498
gpt3-ada,0.0
gpt3-babbage,0.2665036674816626
gpt3-curie,0.06234718826405868
gpt3-davinci,0.8080684596577017
text-ada-001,0.31295843520782396
text-babbage-001,0.9865525672371638
text-curie-001,0.3533007334963325
text-davinci-001,0.9865525672371638
text-davinci-003,0.9963325183374083
