model,corr_human,corr_subj
bloom-560m,0.5308436731085772,0.5212505004132689
bloom-1b1,0.36508653099564997,0.35722664374398827
bloom-1b7,0.3707962212474629,0.3216795173115916
bloom-3b,0.13310001665001234,0.27002939608800525
bloom-7b1,0.15008813142168154,-0.009909526658707035
gpt2-small,0.6520857581566489,0.5559710509253571
gpt2-medium,0.3673737983028707,0.43840311244557145
gpt2-large,0.49604707710035784,0.5652469727396185
gpt2-xl,0.23096443463310756,0.2755172537180836
gpt3-ada,0.338905985512738,0.40753399181399147
gpt3-babbage,0.4488657248792903,0.3788116084310491
gpt3-curie,-0.1880196836622506,-0.122442558818005
gpt3-davinci,0.6974346630129679,0.6332366924323739
text-ada-001,0.5983280850111178,0.5780561605696242
text-babbage-001,0.22824636175428645,0.28357732038822486
text-curie-001,-0.20364757163143402,-0.0798785011387842
text-davinci-001,0.35557119737386583,0.4106733379350598
text-davinci-003,0.9434909303026429,0.740029684516686
