verb,overall_acc,avg_LL_delta
bakes,0.0,-0.9464372907366071
carves,0.0,-0.9375178019205729
cleans,0.0,-0.9351444950810185
cooks,0.0,-1.1944471571180555
cuts,0.0,-0.9625213623046875
drives,0.16666666666666666,-0.4305487738715278
embroiders,0.0,-0.999969482421875
flies,0.0,-0.9687093098958334
knits,0.0,-1.0928815569196428
packs,0.0,-1.2249923706054688
paints,0.0,-1.249951680501302
performs,0.0,-1.1539024939903846
photographs,0.1111111111111111,-0.7082451714409722
plays,0.0,-1.38458251953125
reads,0.058823529411764705,-0.8676219267003676
sculpts,0.0,-1.1833699544270833
sells,0.19444444444444445,-0.4930216471354167
sews,0.0,-0.900091552734375
shaves,0.0,-1.06669921875
stitches,0.0,-1.1406885782877605
turns,0.045454545454545456,-0.642059326171875
washes,0.038461538461538464,-0.7307316706730769
writes,0.029411764705882353,-0.9779591279871324
