verb,num_agents,num_patients,agent_acc,patient_acc,overall_acc,agent_avg_LL_delta,patient_avg_LL_delta
bakes,18,24,1.0,1.0,1.0,16.23982966656833,-10.565339525840416
carves,20,28,1.0,1.0,1.0,16.72997896894,-9.256561558465716
cleans,21,33,1.0,1.0,1.0,15.795207421819523,-12.978575707721209
cooks,12,33,1.0,1.0,1.0,17.032749619345832,-12.33256425478788
cuts,16,24,1.0,0.875,0.925,16.862266124646876,-7.281279763017085
drives,9,27,1.0,0.0,0.25,17.481246183110002,10.721567385396666
embroiders,12,16,1.0,1.0,1.0,14.951783706333332,-12.02825318474
flies,12,12,1.0,0.0,0.5,16.713302854179165,7.986494634980832
knits,20,15,1.0,1.0,1.0,14.561059359907997,-9.672682646548667
packs,16,24,1.0,0.75,0.85,14.464571378325626,-4.591249768369167
paints,20,28,1.0,1.0,1.0,16.4463747489775,-10.726252843898575
performs,7,6,1.0,0.5,0.7692307692307693,16.197550481007145,-2.9472588662166666
photographs,4,14,1.0,0.8571428571428571,0.8888888888888888,16.9434217748025,-11.619716356547144
plays,14,12,1.0,0.5,0.7692307692307693,16.769116744737143,-0.06685936688333315
reads,14,20,1.0,1.0,1.0,15.284571207662859,-13.0504120561145
sculpts,15,15,1.0,0.8,0.9,17.129202859975333,-3.834504454893333
sells,27,45,1.0,0.9555555555555556,0.9722222222222222,17.213980122826666,-6.9795782094564425
sews,12,8,1.0,1.0,1.0,14.183439857714168,-13.578370691995
shaves,6,9,1.0,1.0,1.0,15.681714328366667,-9.769737988891112
stitches,20,28,1.0,1.0,1.0,13.998893149937999,-12.993731709062498
turns,16,28,1.0,0.5357142857142857,0.7045454545454546,15.149439766102502,-0.6406061577464285
washes,8,18,1.0,1.0,1.0,13.71203288048125,-12.84145608415278
writes,24,10,1.0,0.9,0.9705882352941176,16.23138253767375,-7.747720697167
