noun,avg_LL_delta
abstract,-8.477039290999999
actor,10.60781701487
aircraft,-1.40911265
album,-13.975220043
animal,0.95963072
announcer,11.7592321305
artisan,9.18221218063
artist,11.4167364075
author,10.5855556389
aviator,10.3947300782
backpack,-9.25225057354
backpacker,5.560019366
bag,-11.39690021625
baker,12.06649788223
barber,8.920832997
basket,-12.7876058038
beard,-10.764211587799998
bedding,-14.79258569896
bike,-4.093680204
blanket,-15.2781917618
blogger,12.11803723123
board,-10.347685448
book,-12.1422794021
bottle,-13.0832718164
bowl,-15.2854200521
bread,-14.4835142879
broadcaster,12.3230776586
building,-12.3139564829
bus,-5.3604487693
busboy,9.4012903837
businessman,11.6560492279
businesswoman,10.394446595700002
butcher,13.40381076187
cake,-16.393826602
cameraman,11.6816446813
camper,3.39859948
canvas,-15.7937810343
captain,15.663762552
car,-1.19558964
cardboard,-15.00334912223
carpet,-16.065556800499998
carver,9.3943522503
caterer,11.950076995
cd,-12.3631112832
cellist,8.2072274223
cello,-8.3276993636
chauffeur,12.46679550616
chef,15.8855205654
choreography,2.865967112
clarinet,-7.780035693399999
clarinetist,8.0041896446
clay,-14.5200398547
cleaner,11.73792959105
clerk,12.1018160077
cloth,-14.6560235387
coat,-14.029970518
code,-4.149547862
comedian,11.4183607961
concerto,-7.0760301055
confectioner,8.737364833100001
container,-10.8913305089
convertible,-7.983458838400001
cook,14.8082715317
cotton,-15.281894337
countertop,-15.3981449593
crate,-12.6644392884
cushion,-15.5548580373
cut,4.454166226
dancer,11.15642752625
dealer,14.3920370553
dish,-12.1200288526
doctor,17.87389247184
dough,-14.3832706689
dressmaker,9.17192540464
driver,14.6654759042
drug,0.7157846999999999
drummer,13.2187770645
duffle,-11.8630924001
essay,-10.6626160061
essayist,8.76041931274
fabric,-14.7732745808
fillet,-13.3530979094
fish,-9.43906205185
floor,-14.5905719049
flute,-3.788676556
flutist,9.0599857504
food,-12.1834618151
gem,-15.2044037935
glass,-14.423745424000002
hairdresser,9.3670034475
handle,0.23593986
hat,-11.1007842295
herb,-12.6156063846
hiker,10.19603140755
housekeeper,9.45960899516
ice,-15.672524571
illustrator,10.2214808023
ingredient,-10.95355184376
instrument,0.1052903
item,-12.6799395187
jacket,-11.15506205774
janitor,12.6787598792
jet,-2.863610713
jeweler,9.1352173181
jewelry,-11.6431912139
journalist,12.13981290495
kite,-2.51682769
knob,-12.1665101702
lady,4.5916963310000005
lake,-16.5333052448
landscape,-13.6607080856
letter,-9.42896968793
line,-12.2843854351
lotion,-11.2436823616
lunchbox,-8.8952685291
machine,1.09428327
magazine,-11.9506179379
maid,12.7343359017
make,3.79687032
man,7.593263125
marble,-17.3582194577
mason,9.1231277958
material,-13.6555912559
meat,-9.85811589285
mirror,-11.538899391
model,-1.99552975
motorcycle,-2.16825853
motorist,10.0067336863
mountain,-12.8764122788
mover,11.43812639203
mushroom,-14.9625130643
musician,11.33817153664
narrator,9.0611626767
notetaker,7.536609950000001
novel,-15.3265194732
novelist,8.165439894499999
orator,12.70385881406
packaging,-6.6232073774
painter,12.8831796428
panel,-12.0451221206
paper,-14.1086366456
passage,-12.9915030096
pastry,-16.2433101349
patissier,9.42388098547
pattern,-13.1402437205
peddler,11.7269215104
pepper,-15.3311537224
person,9.7364335498
photographer,13.9557803514
pianist,8.8811987456
piano,-12.4672383079
pie,-17.3434219358
pilot,16.382911372099997
pizza,-13.3604291418
plane,2.0430018100000003
poem,-8.411696547570001
poet,8.5480007214
portraitist,7.863359337
pot,-12.3822329487
potato,-16.2158153645
potter,7.6015343045
product,-8.4038044081
professor,13.7848302346
proposal,-1.68993002
pumpkin,-16.0528794288
quilt,-14.2847281853
racer,12.5151708787
report,-7.82967608926
roadtripper,8.245894740799999
routine,-10.0634112724
salesman,13.48417214355
saleswoman,11.048903326
salmon,-12.31423365444
scene,-12.5335727273
screw,-1.1253548299999998
scribe,9.61810495865
script,-12.0593924275
sculptor,13.5703060241
seamster,11.46275929
seamstress,8.27325699865
section,-10.223546445
shirt,-12.78926945543
shopkeeper,12.4748633393
sideburn,-11.5351202728
silk,-15.3931417372
silverware,-9.31828083714
singer,10.3402867915
snack,-11.4854608981
soloist,10.28212605444
sonata,-12.0500509463
song,-7.859674151
steak,-12.456703609
stone,-12.8759767426
stubble,-12.3561824846
student,5.890091856500001
suitcase,-5.400403579
surface,-12.8360946026
surgeon,14.9198816643
suv,-11.3509053054
tailor,10.6448819132
tank,-6.2556460872
teacher,15.12015185766
telemarketer,10.7111229823
tent,-13.7000851677
thread,-9.3896405228
toy,-13.226941283
tractor,4.163841017
trader,14.78198940576
traveller,10.5492303764
truck,3.3816838
tub,-16.8026397166
tuna,-13.7626065249
turkey,-9.7176544842
upholsterer,7.401429462399999
valve,-4.7177873157
van,-10.76691898384
vegetable,-13.0410763814
vehicle,-0.99770365
verse,-9.349348937
view,-13.6146152727
violin,-7.6825061398
violinist,10.2040794825
waiter,15.53415092436
waitress,14.13768480005
wall,-12.8373974148
window,-13.4458338672
windshield,-12.2420019694
woman,7.67385381
wood,-12.8895297456
wool,-13.7315859904
worker,13.5485463186
wound,-10.697583894
yarn,-13.2278293483
