model,corr_noun_LL,corr_human,corr_subj
bloom-560m,0.40748153235185586,-0.023274544418487374,-0.10789043762533387
bloom-1b1,0.6648497339577376,-0.06531632406519901,-0.0767664067958425
bloom-1b7,0.235993073727524,-0.15682995178061865,-0.17877635646559809
bloom-3b,0.10255994002273629,-0.04700939566905127,-0.1863130792417318
bloom-7b1,0.3922324366946692,-0.11731223915118055,-0.09136012798610922
gpt2-small,0.19969763418292746,-0.21819829783326875,-0.20551876765822555
gpt2-medium,0.518447929478207,0.37964810668623356,0.4106850316427289
gpt2-large,0.3377553593304835,0.1579992788213428,0.14098455382030636
gpt2-xl,0.48325397065659276,0.27297389628207125,0.22815016420122924
gpt3-ada,0.5742138142467282,0.16442213947800902,0.28125344012594344
gpt3-babbage,0.5257782748168573,0.42387082836616524,0.35320729988143246
gpt3-curie,0.41817072210302136,-0.40939827097919457,-0.3264129816618553
gpt3-davinci,0.5419493135651986,0.6151620361301928,0.5202038591214261
text-ada-001,0.567587216340569,0.45069761403619946,0.3788602259152168
text-babbage-001,0.16435929396697238,-0.3789660311463346,-0.3585392028376702
text-curie-001,0.26429432815485837,-0.24292475052155843,-0.20917731529172795
text-davinci-001,0.4478347526171109,0.5182983278256736,0.46202499998642566
text-davinci-003,0.6268263836370239,0.6089673711614594,0.42749176650559145
